user,date,renderedContent
abadi11311049,2022-12-30 23:50:34+00:00,"@KAI121 @gueduluan Kalau penumpang baru saja masuk umur 18, dan di aplikasi PeduliLindungi tiket vaksin booster baru mulai 12 januari 2023, apakah boleh naik kreta sebelum vaksin booster?"
KtimunLaut,2022-12-30 23:40:33+00:00,"@beh1ndyouu Paling wajib scan QR, artinya wajib vaksin booster lanjutan"
Dio_Nzee,2022-12-30 22:56:07+00:00,"@PinkyStevanie Semoga aja Pink, krn yg udah2 biasa kebalikannya. Krn KAI masih pake vaksin booster lagi"
j0s3ph11,2022-12-30 22:39:36+00:00,@KAI121 jadi jika belum dapat vaksin booster blom bisa naik KA ya
jasa_vaksin_,2022-12-30 22:15:30+00:00,"Ready tembak vaksin
Vaksin 1,2,3
Hapus data
Dll

Proses 5-30 mnt 
muncul sertif baru bayar

WA: 0895 7017 70099
#tembakvaksin #vaksin #Booster #vaksinasibooster #suntikvaksin #zonauang #KAI https://t.co/Y0z7rYMdDW"
Tree63356707,2022-12-30 22:10:23+00:00,"@bobbynasution_ @pemko_medan Pak 
Mohon info RS di medan yang bisa vaksin booster 🙏"
Gorudenji,2022-12-30 18:46:52+00:00,@Noirditory Jangan takut aku udah vaksin booster
jondivar,2022-12-30 17:42:09+00:00,"Sebenarnya yang masuk rumah sakit dan meninggal karena org habis di vaksin.sedangkan org yg blm sangat jarang masuk rumah sakit.Lihat aja ada pelari 10km habis di vaksin jdi lemas ototnya

Nyari Vaksin Booster Covid-19 Makin Susah, Ini Kata Menkes https://t.co/uPqAfogzu6"
Syahiramnor,2022-12-30 17:11:47+00:00,"@JohanDollah @drmusanordin saya dah 2 kali kena covid, walaupun dah vaksin+booster and I can say, serik weh...merana 2 minggu dan effect dia sampai berbulan padahal tak de medical conditions"
luvpcy27,2022-12-30 16:52:53+00:00,"Mau tanya dong Kalo mau nonton konser harus vaksin booster ya?
Pgn nonton exo sc tp blm vaksin booster + hopeless sama ticketingnya😭😭😭

#EXOSC_BackToBack #EXOSCinJakarta"
GPLantipompong,2022-12-30 16:39:08+00:00,dan ketawa... dan ada bekas luka memanjang dipipi kanannya... dan saat di binong vaksin booster... liat ada yang bekas luka bacok juga dan mulai pulih... supir ambulance kalo ga salah karena dia melangkah keluar saat itu...
dauganabrat,2022-12-30 16:25:06+00:00,"Malam Min @infoPKU , info tempat vaksin booster yg available dong🙏🏻🙏🏻🙏🏻 terimakasih sebelumnya."
cinapribumi,2022-12-30 16:21:33+00:00,@tanyakanrl Paling kepake buat liat tiket vaksin booster ke 2 soalnya bokap gua ngecek buat booster ke 2 di PL sama masuk mall atau bbrp tempat umum sih kaya McD di tempat gua masih pake PL
detikHealth,2022-12-30 15:56:12+00:00,"Presiden Jokowi resmi mencabut aturan Pemberlakukan Pembatasan Kegiatan Masyarakat (PPKM). Begini fakta-faktanya, alasan hingga cakupan vaksin booster. https://t.co/hKdpqca2wx"
iwaachn,2022-12-30 15:24:45+00:00,"@bamiecimol @jodanspace kgak tau juga sie, tp bau bauny si j1n bngkit lgi bis itu, imun ny kuat dh vaksin booster"
detikHealth,2022-12-30 15:15:52+00:00,"Presiden Jokowi resmi mencabut aturan Pemberlakukan Pembatasan Kegiatan Masyarakat (PPKM). Begini fakta-faktanya, alasan hingga cakupan vaksin booster. https://t.co/aQp45EHSGr"
j0s3ph11,2022-12-30 15:12:18+00:00,@KAI121 malam tanya saja dengan di hapus ya ppkm utk naik kereta khusus untuk lansia apa vaksin booster masih berlaku?
cintaatehkotak,2022-12-30 14:58:43+00:00,hal pertama yg bakal dilakuin pas udh 18 taun: vaksin booster
chohyey,2022-12-30 14:54:32+00:00,"sakit banget anynggggg, sebadan badan sakitnya, gelooooooooooo. gabisa miring kiri gabisa miring kanan. emang luar binasa efek vaksin booster"
Tatto26141368,2022-12-30 14:51:52+00:00,"@solehsolihun @cinema21 Leh.. soleh.. anda sehat??? 
Sudah vaksin booster apa belum??? 

Jika anda sakit segeralah berobat ke dokter.."
yunankingstar1,2022-12-30 14:44:59+00:00,"fakta-fakta-ppkm-dicabut-aturan-pakai-masker-hingga-cakupan-vaksin-booster
https://t.co/IW5CfbuMfK

Presiden Jokowi resmi mencabut aturan Pemberlakukan Pembatasan Kegiatan Masyarakat (PPKM). Begini fakta-faktanya, alasan hingga cakupan vaksin booster."
donibar,2022-12-30 14:28:52+00:00,"@jokowi Kemaren di Balai RW 27 Tlogosari Kota Semarang diadakan vaksin booster massal. 

Saya u59, ketika datang ditolak ndak boleh vaksin sekarang.

Karena vaksin masal ini ternyata untuk lansia minimal u60.

Sayang sekali, lansia hanya sedikit yg datang ..."
iniakuuci,2022-12-30 14:25:06+00:00,MAJU LO LEE FELIX GUE UDH VAKSIN BOOSTER
agomala,2022-12-30 14:24:02+00:00,"Kebijakan PPKM sudah di cabut, apakah Vaksin, Booster, PCR, Antigen dan Peduli Lindungi tidak jadi persyaratan bepergian juga..? Kalau masih dijadikan syarat ya percuma saja."
detikHealth,2022-12-30 14:19:08+00:00,"Pencabutan PPKM tidak melulu mendapat respons positif. Seorang pakar mengingatkan, perlu mitigasi karena cakupan vaksin booster masih rendah. https://t.co/tLih92YAVe"
ERIB0NG,2022-12-30 14:18:34+00:00,Ke mall masih ditagihin vaksin booster gk sih?? 🫠
KAI121,2022-12-30 14:02:26+00:00,"@Ridiyaaa Selamat malam Kak. Bila yang dimaksud perjalanan dengan KA Jarak Jauh, maka penumpang usia mulai 18 tahun wajib sudah vaksin dosis ketiga/booster ya Kak. Silakan vaksin booster terlebih dahulu. Info lengkapnya bisa cek link berikut: https://t.co/Gex6hLK2n2. Trims."
dwiwichaksono,2022-12-30 13:44:02+00:00,@CNNIndonesia Kalo di ketatin nanti ga bisa jualan vaksin booster ke 12 dong
ajengyandhikaf,2022-12-30 13:10:38+00:00,"@CommuterLine Min mau tanya, kalo naik kereta tegal-jogjakarta apakah harus vaksin booster? Untuk keberangkatan 31 desember"
