,tweets,sentiment
0,"['wajib', 'scan', 'qr', 'wajib', 'vaksin', 'booster', 'lanjut']",-1.0
1,"['moga', 'pink', 'balik', 'kai', 'pakai', 'vaksin', 'booster']",-1.0
2,"['ready', 'tembak', 'vaksin', 'vaksin', 'hapus', 'data', 'danlainlain', 'proses', 'muncul', 'sertif', 'bayar']",-1.0
3,"['informasi', 'medan', 'vaksin', 'booster']",1.0
4,"['takut', 'vaksin', 'booster']",1.0
5,"['rumah', 'sakit', 'tinggal', 'habis', 'vaksinsedangkan', 'jarang', 'rumah', 'sakitlihat', 'lari', 'habis', 'vaksin', 'lemas', 'otot', 'cari', 'vaksin', 'booster', 'covid', 'susah', 'menkes']",1.0
6,"['covid', 'vaksinbooster', 'sayang', 'serik', 'wehmerana', 'effect', 'bulan', 'adik', 'medical', 'conditions']",-1.0
7,"['ketawa', 'bekas', 'luka', 'panjang', 'pipi', 'kanan', 'bong', 'vaksin', 'booster', 'bekas', 'luka', 'bacok', 'pulih', 'supir', 'ambulance', 'salah', 'lang']",-1.0
8,"['malam', 'informasi', 'vaksin', 'booster', 'available', 'terimakasih']",1.0
9,"['kepake', 'tiket', 'vaksin', 'booster', 'ayah', 'ngecek', 'booster', 'mall', 'kaya', 'mcd', 'pakai']",1.0
10,"['resmi', 'cabut', 'atur', 'laku', 'batas', 'giat', 'masyarakat', 'ppkm', 'faktafaktanya', 'alas', 'cakup', 'vaksin', 'booster']",-1.0
11,"['kgak', 'sie', 'bau', 'bauny', 'jn', 'bngkit', 'bis', 'imun', 'kuat', 'vaksin', 'booster']",-1.0
12,"['malam', 'hapus', 'ppkm', 'lanjutusia', 'vaksin', 'booster', 'laku']",-1.0
13,"['dilakuin', 'pas', 'vaksin', 'booster']",1.0
14,"['sakit', 'banget', 'anynggggg', 'bad', 'badan', 'sakit', 'gelooooooooooo', 'tidakbisa', 'miring', 'kiri', 'tidakbisa', 'miring', 'kanan', 'binasa', 'efek', 'vaksin', 'booster']",-1.0
15,"['soleh', 'sehat', 'vaksin', 'booster', 'sakit', 'segera', 'obat', 'dokter']",-1.0
16,"['faktafaktappkmdicabutaturanpakaimaskerhinggacakupanvaksinbooster', 'resmi', 'cabut', 'atur', 'laku', 'batas', 'giat', 'masyarakat', 'ppkm', 'faktafaktanya', 'alas', 'cakup', 'vaksin', 'booster']",-1.0
17,"['balai', 'rw', 'tlogosari', 'kota', 'semarang', 'ada', 'vaksin', 'booster', 'massal', 'tolak', 'vaksin', 'vaksin', 'masal', 'lanjutusia', 'minimal', 'sayang', 'lanjutusia']",-1.0
18,"['bijak', 'ppkm', 'pergi', 'vaksin', 'booster', 'pcr', 'antigen', 'peduli', 'lindung', 'syarat', 'pergi', 'jadi', 'syarat']",1.0
19,"['cabut', 'ppkm', 'melulu', 'respons', 'positif', 'pakar', 'mitigasi', 'cakup', 'vaksin', 'booster', 'rendah']",-1.0
20,"['selamat', 'malam', 'jalan', 'kakak', 'jarak', 'tumpang', 'usia', 'wajib', 'vaksin', 'dosis', 'ketigabooster', 'vaksin', 'booster', 'informasi', 'lengkap', 'cek', 'link', 'terimakasih']",1.0
21,"['ketatin', 'jual', 'vaksin', 'booster']",1.0
22,"['tegaljogjakarta', 'vaksin', 'booster', 'berangkat', 'desember']",-1.0
23,"['vaksin', 'sertifikat', 'vaksin', 'vaksin', 'booster', 'vaksin', 'booster', 'nama', 'terang', 'vaksin', 'vaksin', 'booster']",1.0
24,"['laku', 'batas', 'giat', 'masyarakat', 'ppkm', 'cabut', 'masyarakat', 'imbau', 'waspada', 'vaksin', 'booster', 'lengkap']",-1.0
25,"['bisa', 'serang', 'lee', 'haechan', 'maju', 'vaksin', 'booster']",-1.0
26,"['subhanallah', 'banget', 'vaksin', 'booster', 'allahuakbar', 'banget', 'kaya', 'tidakmau', 'ulang', 'lagiiiiii']",1.0
27,"['kait', 'cabut', 'ppkm', 'indonesia', 'syarat', 'vaksin', 'booster', 'minimal', 'vaksin']",-1.0
28,"['cabut', 'ppkm', 'urgensi', 'sehrsnya', 'pertamakedua', 'libur', 'nataru', 'pakar', 'mitigasi', 'cakup', 'vaksin', 'booster', 'rendah']",-1.0
29,"['pergi', 'ppkm', 'pakai', 'vaksin', 'booster']",1.0
30,"['umma', 'vaksin', 'booster', 'dibolehin', 'abah', 'super', 'insecure', 'takut', 'demam', 'dansebagainya', 'after', 'vaksin', 'semenjak', 'pumpkin', 'nahan', 'vaksin', 'dokter', 'aman', 'drama', 'cute']",1.0
31,"['nyesel', 'vaksin', 'booster', 'efek', 'drop']",-1.0
32,"['ketat', 'laku', 'cabut', 'salah', 'satu', 'wajib', 'vaksin', 'booster', 'jalan', 'jarak']",-1.0
33,"['uaf', 'informasi', 'vaksin', 'booster', 'kbt']",1.0
34,"['wajib', 'serta', 'vaksin', 'booster', 'jarak']",1.0
35,"['tiongkok', 'buka', 'pintu', 'internasional', 'kerja', 'bal', 'vaksin', 'booster']",1.0
36,"['syarat', 'kuis', 'vaksin', 'booster', 'mandatori', 'pandemi', 'cabut']",-1.0
37,"['naek', 'pesawat', 'danlainlain', 'wajib', 'vaksinbooster', 'gess', 'kasih', 'informasi', 'baru', 'nyaa']",-1.0
38,"['vaksin', 'booster', 'pcr', 'antigen', 'peduli', 'lindung', 'wajib', 'syarat', 'jalan', 'cabut', 'bijak', 'ppkm']",1.0
39,"['hufttt', 'bingung', 'cari', 'vaksin', 'booster', 'thank', 'kakk']",1.0
40,"['vaksin', 'booster', 'lanjut']",1.0
41,"['vaksin', 'booster', 'beneran']",1.0
42,"['kai', 'syarat', 'jarak', 'wajib', 'vaksin', 'booster', 'pakai', 'ppkm', 'cabut']",-1.0
43,"['vaksin', 'booster', 'pos', 'layan', 'mobile', 'jadwal']",1.0
44,"['selamat', 'sore', 'syarat', 'rata', 'anak', 'umur', 'vaksin', 'booster', 'terimakasih']",1.0
45,"['tiada', 'syarat', 'vaksin', 'booster', 'normal', 'kembali']",1.0
46,"['ppkm', 'cabut', 'wajib', 'vaksin', 'booster']",-1.0
47,"['pesawat', 'wajib', 'vaksin', 'booster', 'kh']",-1.0
48,"['cari', 'vaksin', 'booster', 'covid', 'susah', 'menkes']",-1.0
49,"['wajib', 'vaksin', 'booster', 'vaksin', 'booster']",-1.0
50,"['beda', 'utama', 'ppkm', 'cabut', 'henti', 'wajib', 'vaksin', 'booster', 'pergi', 'pesawat', 'terbang']",-1.0
51,"['vaksin', 'booster', 'covid', 'susah', 'menkes', 'cnbc', 'indonesia']",-1.0
52,"['menkes', 'stok', 'booster', 'limpah', 'lanjutusia', 'segara', 'vaksin', 'lengkap', 'klik', 'taut']",1.0
53,"['vaksin', 'booster', 'vaksin', 'booster', 'cari', 'jawab', 'narasumber', 'kepala', 'pusat', 'bijak', 'upaya', 'sehat', 'bkpk', 'pretty', 'multihartina']",1.0
54,"['menkes', 'budi', 'desak', 'masyarakat', 'kaum', 'lanjutusia', 'dibooster', 'stok', 'vaksin', 'booster', 'limpah', 'tingkat', 'vaksin', 'rendah']",-1.0
55,"['dasar', 'undang', 'mk', 'karerna', 'vaksin', 'booster']",1.0
56,"['vaksin', 'booster', 'hamil', 'surat', 'dokter', 'vaksin', 'kreta']",-1.0
57,"['kait', 'vaksin', 'booster']",1.0
58,"['selamat', 'sore', 'jalan', 'kakak', 'jarak', 'tumpang', 'usia', 'wajib', 'vaksin', 'dosis', 'ketigabooster', 'vaksin', 'booster', 'informasi', 'lengkap', 'cek', 'link', 'terimakasih']",1.0
59,"['ppkm', 'cabut', 'syarat', 'vaksin', 'booster', 'pesawat']",-1.0
60,"['bettul', 'dksh', 'vaksin', 'booster', 'beli', 'nasi', 'uduk']",1.0
61,"['tukenapa', 'sehat', 'suruh', 'ambil', 'vaksin', 'booster', 'hahaha', 'hang', 'carut']",-1.0
62,"['selamat', 'siang', 'maaf', 'syarat', 'tentu', 'jalan', 'kakak', 'sesuai', 'surat', 'edar', 'kemenhub', 'nomor', 'tumpang', 'kakak', 'antarkota', 'usia', 'wajib', 'vaksin', 'booster']",1.0
63,"['syarat', 'jalan', 'banget', 'vaksin', 'booster']",1.0
64,"['vaksin', 'booster', 'belon', 'mati', 'dinkes', 'daerahkhususibukota', 'cepat', 'lambat', 'omicron', 'bf', 'china', 'indonesia', 'antisipasi']",1.0
65,"['tembak', 'vaksin', 'booster', 'only', 'booster', 'dm']",-1.0
66,"['situasi', 'covid', 'baik', 'turun', 'covid', 'indonesia', 'masyarakat', 'taat', 'prokes', 'vaksin', 'booster', 'lonjak', 'covid']",1.0
67,"['coba', 'hub', 'vaksin', 'booster', 'kasih', 'kertas', 'vaksin', 'bawa', 'tanyain', 'sistem']",1.0
68,"['takut', 'china', 'vaksinbooster', 'mayoritas', 'rakyat', 'malaysia', 'covid', 'natural', 'immunity', 'jugak', 'anugerah', 'tuhan', 'owh', 'lupa', 'pulak', 'kate', 'paxlovid', 'jugak', 'fear', 'mongering']",1.0
69,"['sudahsudahla', 'penat', 'covid', 'saje', 'covid', 'pakai', 'mask', 'vaksin', 'booster', 'ikhtiar']",1.0
70,"['admin', 'informasi', 'vaksin', 'booster', 'stasiun', 'buka', 'jamber']",1.0
71,"['mudah', 'colong', 'contoh', 'nik', 'vaksin', 'booster', 'daftar', 'booster', 'perihal', 'password', 'rumit', 'indonesia', 'maaf', 'gagapteknologi', 'lupa', 'password', 'anak', 'muda', 'orangtua']",-1.0
