&,dan,
@,di,
1pun,satupun,
7an,tujuan,
aamiin,amin,
aamiin,amin,
aamiinnn,amin,
ababil,abglabil,
abis,habis,
absurd,aneh,
acc,accord,
accord,sesuai,
achh,ah,
ad,ada,
adain,adakan,
adl,adalah,
adlah,adalah,
adlh,adalah,
administ,administrasi,
adoh,aduh,
aduhhh,aduh,
adw,ada,
afaik,asfarasiknow,
affh,apa,
after,sesudah,
agma,agama,
aha,tertawa,
ahaha,haha,
ahhh,ah,
ahhhh,ah,
ahiok,ahok,
ahoax,ahok,
ahokncc,ahok,
aing,saya,
aj,aja,
aj,saja,
aja,saja,
ajaaa,saja,
ajaaaa,saja,
ajaaaa,saja,
ajah,saja,
ajak2,ajak-ajak,
aje,saja,
ajep-ajep,duniagemerlap,
ajg,anjing,
ajj,saja,
ajjrr,anjing,
ak,aku,
aka,dikenaljugasebagai,
akherat,akhirat,
akhirx,akhirnya,
akika,aku,
akko,aku,
akkoh,aku,
akku,aku,
akn,akan,
aktifis2,aktivis-aktivis,
aktip,aktif,
aktivi,aktivis,
aktivis2,aktivis-aktivis,
akun2,akun-akun,
akuu,aku,
akuuu,aku,
akuwh,aku,
akyu,aku,
alay,norak,
aleg,caleg,
alih2,alih-alih,
aljasa,asaljadisaja,
all,semua,
almaidahyg,almaidah,
almh,almarhumah,
alo,halo,
alow,halo,
ama,sama,
ambilin,ambilkan,
ambl,ambil,
amerik,amarika,
amjinc,anjing,
anak2,anak-anak,
analisise,analisis,
ancur,hancur,
ancuuurr,hancur,
angis,nangis,
angst,cemas,
anj,anjing,
anjay,anjing,
anjeng,anjing,
anjengggg,anjing,
anjg,anjing,
anjggg,anjing,
anjiiirrrrrrrr,anjing,
anjir,anjing,
anjirlah,angjinglah,
anjirrr,anjing,
anjr,anjing,
anjrit,anjing,
anjuttt,anjing,
ank,anak,
anter,antar,
anterin,antarkan,
antre,antri,
anying,anjing,
anynggggg,anjing,
ap,apa,
ap2,apa-apa,
apaaaaaaa,apa,
apaan,apa,
apakahh,apakah,
apasih,apasih,
